NombreDepto,mpio_cdpmp,NombreEntidad,Población,Periodo
Boyacá,15296,Gameza,5095.0,2012
Boyacá,15299,Garagoa,16855.0,2012
Boyacá,15317,Guacamayas,1815.0,2012
Boyacá,15322,Guateque,9794.0,2012
Boyacá,15325,Guayatá,5490.0,2012
Boyacá,15332,Güicán,7212.0,2012
Boyacá,15362,Iza,2281.0,2012
Boyacá,15367,Jenesano,7587.0,2012
Boyacá,15368,Jericó,4223.0,2012
Boyacá,15377,Labranzagrande,5186.0,2012
Boyacá,15380,La Capilla,2715.0,2012
Boyacá,15401,La Victoria,1674.0,2012
Boyacá,15403,La Uvita,2824.0,2012
Boyacá,15407,Villa de Leyva,15027.0,2012
Boyacá,15425,Macanal,4796.0,2012
Boyacá,15442,Maripí,7609.0,2012
Boyacá,15455,Miraflores,9744.0,2012
Boyacá,15464,Mongua,4889.0,2012
Boyacá,15466,Monguí,4990.0,2012
Boyacá,15469,Moniquirá,21567.0,2012
Boyacá,15476,Motavita,7671.0,2012
Boyacá,15480,Muzo,9419.0,2012
Boyacá,15491,Nobsa,16002.0,2012
Boyacá,15494,Nuevo Colón,6436.0,2012
Boyacá,15500,Oicatá,2831.0,2012
Boyacá,15507,Otanche,10617.0,2012
Boyacá,15511,Pachavita,2675.0,2012
Boyacá,15514,Páez,3053.0,2012
Boyacá,15516,Paipa,29890.0,2012
Boyacá,15518,Pajarito,1898.0,2012
Boyacá,15522,Panqueba,1591.0,2012
Boyacá,15531,Pauna,10695.0,2012
Boyacá,15533,Paya,2586.0,2012
Boyacá,15537,Paz de Río,4858.0,2012
Boyacá,15542,Pesca,8543.0,2012
Boyacá,15550,Pisba,1395.0,2012
Boyacá,15572,Puerto Boyacá,53935.0,2012
Boyacá,15580,Quípama,8166.0,2012
Boyacá,15599,Ramiriquí,10255.0,2012
Boyacá,15600,Ráquira,13285.0,2012
Boyacá,15621,Rondón,2878.0,2012
Boyacá,15632,Saboyá,12564.0,2012
Boyacá,15638,Sáchica,3819.0,2012
Boyacá,15646,Samacá,19239.0,2012
Boyacá,15660,San Eduardo,1893.0,2012
Boyacá,15664,San José de Pare,5395.0,2012
Boyacá,15667,San Luis de Gaceno,5479.0,2012
Boyacá,15673,San Mateo,3987.0,2012
Boyacá,15676,San Miguel de Sema,4577.0,2012
Boyacá,15681,San Pablo de Borbur,10663.0,2012
Boyacá,15686,Santana,7749.0,2012
Boyacá,15690,Santa María,4168.0,2012
Boyacá,15693,Santa Rosa de Viterbo,13392.0,2012
Boyacá,15696,Santa Sofía,2828.0,2012
Boyacá,15720,Sativanorte,2463.0,2012
Boyacá,15723,Sativasur,1184.0,2012
Boyacá,15740,Siachoque,8950.0,2012
Boyacá,15753,Soatá,7834.0,2012
Boyacá,15755,Socotá,8757.0,2012
Boyacá,15757,Socha,7297.0,2012
Boyacá,15759,Sogamoso,114676.0,2012
Boyacá,15761,Somondoco,3858.0,2012
Boyacá,15762,Sora,3016.0,2012
Boyacá,15763,Sotaquirá,8090.0,2012
Boyacá,15764,Soracá,5529.0,2012
Boyacá,15774,Susacón,3266.0,2012
Boyacá,15776,Sutamarchán,5990.0,2012
